date,signal,diff_pct,spy_mom,tips_mom
2025-07-16,BUY,9.11,10.41,1.30
2025-07-17,BUY,10.53,12.08,1.55
2025-07-18,BUY,11.77,13.64,1.87
2025-07-19,BUY,12.09,14.32,2.23
2025-07-20,BUY,12.09,14.32,2.23
2025-07-21,BUY,12.09,14.32,2.23
2025-07-22,BUY,10.75,13.36,2.61
2025-07-23,BUY,10.79,13.56,2.76
2025-07-24,BUY,14.51,17.18,2.67
2025-07-25,BUY,15.34,17.83,2.49
2025-07-26,BUY,14.76,17.02,2.26
2025-07-27,BUY,14.76,17.02,2.26
2025-07-28,BUY,14.76,17.02,2.26
2025-07-29,BUY,14.89,16.92,2.03
2025-07-30,BUY,14.71,17.21,2.50
2025-07-31,BUY,13.64,15.19,1.54
2025-08-01,BUY,15.00,16.40,1.41
2025-08-02,BUY,15.29,16.67,1.38
2025-08-03,BUY,15.29,16.67,1.38
2025-08-04,BUY,15.29,16.67,1.38
2025-08-05,BUY,20.61,21.99,1.39
2025-08-06,BUY,18.38,20.27,1.88
2025-08-07,BUY,19.89,22.00,2.11
2025-08-08,BUY,16.83,19.15,2.32
2025-08-09,BUY,17.56,19.55,1.99
2025-08-10,BUY,17.56,19.55,1.99
2025-08-11,BUY,17.56,19.55,1.99
2025-08-12,BUY,17.53,19.25,1.71
2025-08-13,BUY,17.24,18.57,1.32
2025-08-14,BUY,16.83,18.60,1.77
2025-08-15,BUY,14.93,16.61,1.68
2025-08-16,BUY,14.56,16.08,1.52
2025-08-17,BUY,14.56,16.08,1.52
2025-08-18,BUY,14.56,16.08,1.52
2025-08-19,BUY,13.61,14.96,1.35
2025-08-20,BUY,13.47,14.52,1.05
2025-08-21,BUY,12.89,13.82,0.93
2025-08-22,BUY,12.99,14.26,1.27
2025-08-23,BUY,13.38,14.80,1.42
2025-08-24,BUY,13.38,14.80,1.42
2025-08-25,BUY,13.38,14.80,1.42
2025-08-26,BUY,13.35,14.57,1.22
2025-08-27,BUY,13.43,14.89,1.45
2025-08-28,BUY,14.13,15.82,1.69
2025-08-29,BUY,14.33,16.22,1.90
2025-08-30,BUY,12.32,14.44,2.11
2025-08-31,BUY,12.32,14.44,2.11
2025-09-01,BUY,12.32,14.44,2.11
2025-09-02,BUY,12.32,14.44,2.11
2025-09-03,BUY,14.61,15.97,1.37
2025-09-04,BUY,15.52,16.84,1.33
2025-09-05,BUY,16.69,18.11,1.42
